pl_name,ra,dec,pl_orbincl,pl_bmasse,pl_orbsmax,pl_orbeccen,pl_orblper,pl_orbper,pl_Omega,vx,vy,vz,x,y,z
CoRoT_7_b,100.9561682,-1.0630076,80.1,4.07661,0.017016,0.0,160.0,0.85359163,79.20311379051287,4.55809,-17.64028,-44.58835,-0.00398,-0.01552,0.00573
CoRoT_7_c,100.9561682,-1.0630076,80.0,8.4,0.046,0.0,180.0,3.698,79.20634140067354,4.99711,-0.95268,-28.85044,-0.00861,-0.04519,0.0
CoRoT_9_b,280.7866461,6.2040783,89.9,266.9772,0.4021,0.133,41.0,95.272656,259.21336994354795,1.40543,7.29714,8.54865,-0.04885,-0.25853,0.22872
DENIS_P_J082303.1_491201_b,125.7620668,-49.2003008,56.6,9057.77,0.36,0.345,36.3,246.36,58.982708386395835,-10.28332,-4.18299,10.09655,0.03207,0.20246,0.11654
EPIC_211822797_b,130.4102091,17.6399744,89.73,4.35,0.1195,0.06,0.0,21.1701963,49.59010491346632,-0.06926,0.05896,19.30101,0.07282,0.08553,0.0
EPIC_211945201_b,136.5741931,19.4020565,87.9,27.0,0.1493,0.0,90.0,19.49221,43.44502476797665,-11.80612,-11.18208,0.0,-0.00376,0.00397,0.1492
EPIC_220674823_c,13.0800239,10.7947051,89.35,8.9,0.1083,0.13,178.0,13.3397,166.91916329487353,0.79552,0.06843,-21.74466,0.09171,-0.02135,0.00329
EPIC_249893012_b,228.2482353,-16.7246474,86.14,8.75,0.047,0.06,225.0,3.5951,311.6871298203875,13.37925,-17.22615,-21.71294,-0.02235,0.02193,-0.03117
EPIC_249893012_c,228.2482353,-16.7246474,87.94,14.67,0.13,0.07,217.0,15.624,311.73336410690456,7.08775,-8.75193,-14.91854,-0.06623,0.07031,-0.07271
EPIC_249893012_d,228.2482353,-16.7246474,89.47,10.18,0.22,0.15,181.0,35.747,311.75054689827175,0.07357,-0.29884,-15.57841,-0.12452,0.13947,-0.00326
G_9_40_b,134.7188514,21.0747961,88.57,11.7,0.0385,0.0,0.0,5.746007,45.29007164244619,-0.56792,0.5622,32.0121,0.02709,0.02736,0.0
GJ_1132_b,153.7090696,-47.1549358,88.16,1.83705,0.0157,0.0118,-95.8,1.62892911,26.302666878227825,45.32724,22.22109,-5.12501,-0.00119,-0.00114,-0.01543
GJ_1214_b,258.8313991,4.9606795,88.98,8.41,0.01505,0.0062,77.0,1.58040453,281.16687562887677,-9.52242,49.30366,11.59107,0.00091,-0.00325,0.01457
GJ_1252_b,306.9286462,-56.4622865,85.0,1.32,0.00915,0.0,90.0,0.5182331,233.17621341442788,39.36898,52.58008,0.0,0.00064,-0.00048,0.00912
GJ_143_b,51.7501882,-63.500166,89.33,22.7,0.1915,0.188,98.0,35.61253,128.2479071979646,10.66889,-13.48879,-2.41686,0.01198,-0.01811,0.15397
GJ_179_b,73.0245495,6.4752347,61.0,301.93699,2.41,0.21,153.0,2288.0,104.9486236090561,2.6771,-1.63894,-3.90347,0.03272,-1.74707,0.75598
GJ_2030_c,50.8237604,-7.7950429,16.999,4069.15709,16.761,0.041,205.126,25533.11353,103.40019041416846,1.1894,0.98131,-0.42324,9.72185,-12.64402,-1.99535
GJ_3090_b,20.4384281,-46.7147234,87.14,3.34,0.03165,0.32,137.0,2.8531054,159.53819422629618,32.06932,-10.04932,-35.94278,0.01449,-0.00619,0.01466
GJ_317_b,130.2445254,-23.452809,45.0,794.5,1.151,0.07,72.0,695.66,59.09972799021894,-4.24598,-4.42155,1.37265,-0.44782,0.65351,0.71986
GJ_3470_b,119.7735021,15.391209,89.13,13.9,0.0355,0.017,1.7,3.3366496,60.22934491622582,-0.9465,-0.61784,33.90066,0.01731,0.03029,0.00104
GJ_3634_b,164.6433493,-31.1443383,59.0,8.4,0.0287,0.08,84.0,2.64561,17.765195981325476,-38.71859,-10.13355,3.60045,-0.0015,0.01372,0.02251
GJ_367_b,146.121464,-45.7790165,79.89,0.633,0.00709,0.06,66.0,0.3219225,34.29471042826788,-62.99242,-36.11386,31.72946,0.00164,0.00241,0.00599
GJ_3929_b,239.5775678,35.4081141,88.442,1.75,0.0252,0.0,90.0,2.616235,300.41318240628175,-20.03685,34.13398,0.0,0.00059,0.00035,0.02519
GJ_436_b,175.5505363,26.7030669,86.44,22.1,0.0291,0.13827,351.0,2.64388312,4.458031690943047,6.40037,3.10308,41.7303,0.02471,0.00168,-0.00392
GJ_463_b,185.7440496,64.0324311,152.0,1144.18227,3.53,0.09,-69.0,3448.0,347.90655563498575,3.09847,-1.84828,0.61578,1.68039,2.34796,-1.40792
GJ_486_b,191.981531,9.7494181,88.9,3.0,0.01713,0.0,90.0,1.4671205,348.0163243822491,-46.96041,9.96776,0.0,7e-05,0.00032,0.01713
GJ_676_A_b,262.5448903,-51.6377777,48.919,1840.86213,1.735,0.319,87.073,1051.44521,275.633230440532,-0.42911,6.61982,0.25553,0.77758,0.01607,0.88946
GJ_676_A_c,262.5448903,-51.6377777,33.69,4288.14087,9.726,0.295,263.949,13921.42302,274.15155925393293,-0.04229,-2.72557,-0.15966,-5.71089,0.31018,-3.78229
GJ_680_b,263.8072214,-48.6788427,21.984,7977.49302,10.138,0.381,149.564,17281.66514,272.3260433040408,-2.4152,1.39626,-0.95134,2.7258,5.52582,1.19004
GJ_832_b,323.3912616,-49.0125169,51.0,314.65012,3.7,0.05,207.0,3853.0,223.7094546415077,-2.45755,0.31462,-2.37791,1.56995,2.89007,-1.24015
GJ_876_b,343.3239737,-14.2665958,59.0,723.2235,0.208317,0.0324,50.3,61.1166,199.26323300753612,11.87154,-0.80682,7.78578,-0.09519,-0.11788,0.13293
GJ_876_c,343.3239737,-14.2665958,59.0,226.9846,0.12959,0.25591,48.76,30.0881,199.26323300753612,18.63638,-1.64252,12.81307,-0.04769,-0.05622,0.06215
GJ_876_d,343.3239737,-14.2665958,59.0,6.83,0.020807,0.207,234.0,1.93778,199.26323300753612,-46.40908,1.01465,-27.0755,0.00689,0.00969,-0.01144
GJ_876_e,343.3239737,-14.2665958,59.0,14.6,0.3343,0.055,239.0,124.26,199.26323300753612,-10.2959,-0.37172,-5.06905,0.10759,0.18534,-0.23211
GJ_896_A_b,352.9700384,19.9370011,69.2,718.2922,0.63965,0.35,353.11,284.39,187.51465571365176,-0.82455,-4.13479,10.50756,-0.41154,-0.03642,-0.04663
GJ_9714_b,315.4141767,-32.5250028,155.326,2988.54051,12.319,0.155,92.13,19240.75467,247.04568254280878,0.88076,1.89831,-0.03247,-8.55322,4.04274,4.34252
HAT_P_1_b,344.4453632,38.674919,85.634,166.86075,0.05561,0.0,253.1,4.46529976,195.59770539298455,-24.71328,-6.28681,-7.72306,0.01448,0.00825,-0.05305
HAT_P_11_b,297.7101763,48.0818635,89.36,26.69772,0.05254,0.218,19.0,4.88780244,242.2912951883926,5.49866,9.6925,32.34432,-0.01793,-0.03446,0.01338
HAT_P_11_c,297.7101763,48.0818635,135.7,731.009,4.13,0.601,143.7,3407.0,249.85522181176282,4.61638,2.21191,-3.48597,-0.19811,1.48728,0.68135
HAT_P_12_b,209.3886452,43.49331,89.0,67.059,0.0384,0.0,354.3,3.2130598,330.6076231287668,3.04793,-1.0778,31.90035,0.03326,-0.01881,-0.00381
